 ,Argument,Claim,Context ID,Context,Emotion,Reliability of the information source,Reliability of the information source,Relevance and magnitude of potential harm or benefit,Temporal or spatial proximity to the event,Presence (or absence) of conflicting evidence,"Speaker’s identity, motivations, or past behavior",Notes,Source,LLM Prompt (if synthetic),Convincingness (Avg)
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
